SHOPEE INDIA APP,,,,,,,
Identified by:,P S ARJUN,,,,,,
Reported to:,,,,,,,
Date:,04-07-2023,,,,,,
Version Number:,,,,,,,
Environment Details:,,,,,,,
Bug Id,Expected Result,Bug Description,Steps to reproduce,Severity,Priority,Screenshot,Status
DEF_SIA_01,home screen of app should have more information when scrolled down,home screen does not have much information when scrolled down,"1. open shopee india app
2. view home screen
3. scroll down",trivial,medium,https://drive.google.com/file/d/1NTdkVUq1MLhVBaCpDJnC9svqho1lbF_Z/view?usp=share_link,new
DEF_SIA_02,user account login should be available in hamburger menu,user account login is not available in hamburger menu,"1. click on hamburger button
2. view contents",critical,high,https://drive.google.com/file/d/1NZCC4MYiReqbUDSWwrpevEX2LpIkMuBH/view?usp=share_link,new
DEF_SIA_03,search icon should navigate to search bar,search icon does not navigate to search bar,1. click on search icon,major,high,https://drive.google.com/file/d/1PLCIR19yX1x-U9oB14Sl7ErFJlVdYeBU/view?usp=share_link,new
DEF_SIA_04,wishlist icon should navigate to wishlist menu,wishlist icon navigates to add to cart,1. click on wishlist icon,major,high,https://drive.google.com/file/d/1NmXILTf65qqHWIRt_dYP7bRLR7UA6VIX/view?usp=share_link,new
DEF_SIA_05,store icon should navigate to store menu inside the app,store icon navigates to web page outside app,1. click on store icon,major,high,https://drive.google.com/file/d/1PY0hrNmo-eX2ujPHucw_WTx9Jn9zD2RT/view?usp=share_link,new
DEF_SIA_06,item prediction should be available when 1 or 2 words are given as input,item prediction not available when 1 or 2 words are given as input,"1. click on search bar
2. enter 1 or 2 letters",trivial,low,https://drive.google.com/file/d/1OdwnQfvbo6KlLxtFnSfQODez76o3ZXH0/view?usp=share_link,new
DEF_SIA_07,previous searches should be available,previous searches not available,1. click on search bar,trivial,low,https://drive.google.com/file/d/1OVW-fNFITaSznd2RdeBpV-zPzOvSnYmA/view?usp=share_link,new
DEF_SIA_08,images of items on home screen should be available,some images of items on home screen are not available,"1. view home screen items
2. scroll down",trivial ,high,https://drive.google.com/file/d/1O8vfMwb8zOlvlalWQ1oKY2lHC9PkAoRG/view?usp=share_link,new
DEF_SIA_09,products should be available with more detailing,some products are available with less detailing,1. click on products,trivial ,low,https://drive.google.com/file/d/1OYc4FRX4RliRyzqZaqP5d88yQlaEZBu5/view?usp=share_link,new
DEF_SIA_10,products should be filtered based on rating,products are not filtered based on rating,1. click on filters,trivial ,medium,https://drive.google.com/file/d/1OXJEpzOYSUsiETkjnb7ugPCAxLo5Szt7/view?usp=share_link,new
